,years_experience,degree,nr_commits,nr_languages,nr_stars
3858,0.0,0.0,832.0,0.0,0.0
3200,0.0,0.0,828.0,0.0,0.0
3409,0.0,0.0,848.0,0.0,0.0
3399,0.0,0.0,822.0,0.0,0.0
3877,0.0,0.0,819.0,0.0,0.0
3595,0.0,0.0,831.0,0.0,0.0
3911,0.0,0.0,826.0,0.0,0.0
2813,0.0,0.0,819.0,0.0,0.0
2778,0.0,0.0,828.0,0.0,0.0
2165,0.0,0.0,844.0,0.0,0.0
2005,0.0,0.0,844.0,0.0,0.0
3208,0.0,0.0,1835.0,0.0,0.0
2130,0.0,0.0,828.0,0.0,0.0
3125,0.0,0.0,830.0,0.0,0.0
3110,0.0,0.0,812.0,0.0,0.0
3704,0.0,0.0,826.0,0.0,0.0
2252,0.0,0.0,2827.0,0.0,0.0
3066,0.0,0.0,834.0,0.0,0.0
3359,0.0,0.0,835.0,0.0,0.0
2738,0.0,0.0,826.0,0.0,0.0
3558,0.0,0.0,837.0,0.0,0.0
2336,0.0,0.0,823.0,0.0,0.0
2991,0.0,0.0,824.0,0.0,0.0
3402,0.0,0.0,831.0,0.0,0.0
2646,0.0,0.0,833.0,0.0,0.0
2096,0.0,0.0,813.0,0.0,0.0
3544,0.0,0.0,845.0,0.0,0.0
3367,0.0,0.0,840.0,0.0,0.0
2948,0.0,0.0,821.0,0.0,0.0
2345,0.0,0.0,813.0,0.0,0.0
3562,0.0,0.0,843.0,0.0,0.0
2392,0.0,0.0,822.0,0.0,0.0
3177,0.0,0.0,839.0,0.0,0.0
2233,0.0,0.0,838.0,0.0,0.0
2209,0.0,0.0,840.0,0.0,0.0
3052,0.0,0.0,831.0,0.0,0.0
2880,0.0,0.0,1826.0,0.0,0.0
3588,0.0,0.0,829.0,0.0,0.0
2690,0.0,0.0,811.0,0.0,0.0
2026,0.0,0.0,822.0,0.0,0.0
2833,0.0,0.0,837.0,0.0,0.0
2035,0.0,0.0,825.0,0.0,0.0
3823,0.0,0.0,832.0,0.0,0.0
3659,0.0,0.0,819.0,0.0,0.0
2814,0.0,0.0,826.0,0.0,0.0
3936,0.0,0.0,832.0,0.0,0.0
3412,0.0,0.0,837.0,0.0,0.0
3069,0.0,0.0,835.0,0.0,0.0
3908,0.0,0.0,833.0,0.0,0.0
3304,0.0,0.0,835.0,0.0,0.0
3604,0.0,0.0,844.0,0.0,0.0
2514,0.0,0.0,846.0,0.0,0.0
2034,0.0,0.0,836.0,0.0,0.0
2331,0.0,0.0,846.0,0.0,0.0
3325,0.0,0.0,838.0,0.0,0.0
2604,0.0,0.0,823.0,0.0,0.0
2159,0.0,0.0,832.0,0.0,0.0
3283,0.0,0.0,828.0,0.0,0.0
3998,0.0,0.0,834.0,0.0,0.0
2777,0.0,0.0,845.0,0.0,0.0
3811,0.0,0.0,823.0,0.0,0.0
2988,0.0,0.0,829.0,0.0,0.0
2325,0.0,0.0,834.0,0.0,0.0
2113,0.0,0.0,843.0,0.0,0.0
3551,0.0,0.0,833.0,0.0,0.0
3870,0.0,0.0,826.0,0.0,0.0
3560,0.0,0.0,837.0,0.0,0.0
2762,0.0,0.0,837.0,0.0,0.0
3232,0.0,0.0,820.0,0.0,0.0
2118,0.0,0.0,834.0,0.0,0.0
2022,0.0,0.0,821.0,0.0,0.0
2786,0.0,0.0,820.0,0.0,0.0
2279,0.0,0.0,848.0,0.0,0.0
2062,0.0,0.0,823.0,0.0,0.0
3971,0.0,0.0,809.0,0.0,0.0
3531,0.0,0.0,835.0,0.0,0.0
2417,0.0,0.0,1836.0,0.0,0.0
2281,0.0,0.0,846.0,0.0,0.0
3173,0.0,0.0,838.0,0.0,0.0
2181,0.0,0.0,823.0,0.0,0.0
3833,0.0,0.0,1825.0,0.0,0.0
2713,0.0,0.0,831.0,0.0,0.0
2794,0.0,0.0,827.0,0.0,0.0
3324,0.0,0.0,852.0,0.0,0.0
3790,0.0,0.0,829.0,0.0,0.0
2753,0.0,0.0,829.0,0.0,0.0
3966,0.0,0.0,838.0,0.0,0.0
2424,0.0,0.0,847.0,0.0,0.0
2086,0.0,0.0,816.0,0.0,0.0
2323,0.0,0.0,847.0,0.0,0.0
3170,0.0,0.0,828.0,0.0,0.0
2801,0.0,0.0,849.0,0.0,0.0
3478,0.0,0.0,848.0,0.0,0.0
2236,0.0,0.0,827.0,0.0,0.0
2556,0.0,0.0,843.0,0.0,0.0
3240,0.0,0.0,850.0,0.0,0.0
2663,0.0,0.0,826.0,0.0,0.0
2335,0.0,0.0,825.0,0.0,0.0
3006,0.0,0.0,833.0,0.0,0.0
3764,0.0,0.0,821.0,0.0,0.0
2935,0.0,0.0,1828.0,0.0,0.0
2709,0.0,0.0,1824.0,0.0,0.0
3516,0.0,0.0,844.0,0.0,0.0
3238,0.0,0.0,827.0,0.0,0.0
2536,0.0,0.0,1837.0,0.0,0.0
2183,0.0,0.0,830.0,0.0,0.0
3929,0.0,0.0,838.0,0.0,0.0
2523,0.0,0.0,837.0,0.0,0.0
3803,0.0,0.0,836.0,0.0,0.0
2859,0.0,0.0,815.0,0.0,0.0
3752,0.0,0.0,852.0,0.0,0.0
2268,0.0,0.0,832.0,0.0,0.0
2491,0.0,0.0,823.0,0.0,0.0
3584,0.0,0.0,836.0,0.0,0.0
3133,0.0,0.0,819.0,0.0,0.0
3122,0.0,0.0,844.0,0.0,0.0
3744,0.0,0.0,834.0,0.0,0.0
3287,0.0,0.0,831.0,0.0,0.0
2110,0.0,0.0,831.0,0.0,0.0
2621,0.0,0.0,827.0,0.0,0.0
3713,0.0,0.0,844.0,0.0,0.0
3947,0.0,0.0,1832.0,0.0,0.0
3670,0.0,0.0,842.0,0.0,0.0
2339,0.0,0.0,814.0,0.0,0.0
2030,0.0,0.0,827.0,0.0,0.0
3714,0.0,0.0,824.0,0.0,0.0
3074,0.0,0.0,845.0,0.0,0.0
3011,0.0,0.0,837.0,0.0,0.0
3957,0.0,0.0,844.0,0.0,0.0
3565,0.0,0.0,815.0,0.0,0.0
3378,0.0,0.0,831.0,0.0,0.0
3441,0.0,0.0,812.0,0.0,0.0
3587,0.0,0.0,849.0,0.0,0.0
2761,0.0,0.0,1831.0,0.0,0.0
3629,0.0,0.0,836.0,0.0,0.0
2633,0.0,0.0,844.0,0.0,0.0
2826,0.0,0.0,828.0,0.0,0.0
